area,name,abbrev,year,alldeaths_inpatient_age75,estimated_potential,eligible,donors,organs,potential_pct,eligible_per_100potential,donors_per_100potential,organs_per_100potential,tx_per_100potential,organ_potential,organ_share,conversion_rate,collabrate,alldonors,allorgans,alltx,dcdorgans,dbdorgans,dbddonors,dcddonors,dbddonor_pct,dcddonor_pct,dbdorgan_pct,dcdorgan_pct,dbdtx,dcdtx,dbdtx_pct,dcdtx_pct,seq
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2008,5087,378,133,115,415,7,35,30,110,94,1031,40,,,115,415,115,36,379,100,15,87,13,91,9,100,15,87,13,136
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2009,5028,363,126,115,408,7,35,32,112,101,990,41,,,115,408,115,50,358,96,19,83,17,88,12,96,19,83,17,137
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2010,4769,358,118,130,446,8,33,36,125,110,975,46,,,130,446,130,64,382,104,26,80,20,86,14,104,26,80,20,138
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2011,4767,371,122,134,500,8,33,36,135,120,1013,49,87,89,134,500,134,61,439,109,25,81,19,88,12,109,25,81,19,139
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2012,4640,372,125,126,449,8,34,34,121,105,1013,44,78,82,126,449,126,65,384,100,26,79,21,86,14,100,26,79,21,140
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2013,4993,388,139,148,523,8,36,38,135,119,1060,49,83,86,148,523,148,77,446,118,30,80,20,85,15,118,30,80,20,141
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2014,5070,390,108,109,384,8,28,28,98,86,1066,36,78,82,109,384,109,52,332,87,22,80,20,86,14,87,22,80,20,142
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2015,5140,427,118,134,483,8,28,31,113,100,1165,41,81,85,134,483,134,76,407,101,33,75,25,84,16,101,33,75,25,143
 CORS-OP1 Donor Alliance,Donor Alliance,CORS,2016,5310,462,130,139,487,9,28,30,105,92,1261,39,80,84,139,487,139,62,425,109,30,78,22,87,13,109,30,78,22,144
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,1999,4739,226,,36,129,5,,16,57,53,638,20,,,36,129,36,5,124,34,2,94,6,96,4,34,2,94,6,145
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2000,4760,224,,49,173,5,,22,77,64,635,27,,,49,173,49,8,165,46,3,94,6,95,5,46,3,94,6,146
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2001,4607,228,,38,151,5,,17,66,62,638,24,,,38,151,38,13,138,34,4,89,11,91,9,34,4,89,11,147
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2002,4733,224,,45,173,5,,20,77,70,626,28,,,45,173,45,0,173,45,0,100,0,100,0,45,0,100,0,148
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2003,4675,205,,35,131,4,,17,64,56,570,23,,,35,131,35,3,128,34,1,97,3,98,2,34,1,97,3,149
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2004,4532,219,,56,216,5,,26,99,82,610,35,,,56,216,56,3,213,55,1,98,2,99,1,55,1,98,2,150
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2005,4649,212,,45,161,5,,21,76,66,592,27,,,45,161,45,13,148,40,5,89,11,92,8,40,5,89,11,151
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2006,4515,222,,43,167,5,,19,75,63,614,27,,,43,167,43,4,163,42,1,98,2,98,2,42,1,98,2,152
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2007,4430,204,,34,127,5,,17,62,52,571,22,,,34,127,34,12,115,31,3,91,9,91,9,31,3,91,9,153
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2008,4414,217,55,41,146,5,25,19,67,62,600,24,,,41,146,41,11,135,37,4,90,10,92,8,37,4,90,10,154
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2009,4448,224,48,36,138,5,21,16,62,55,622,22,,,36,138,36,22,116,29,7,81,19,84,16,29,7,81,19,155
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2010,4340,214,47,47,174,5,22,22,81,71,593,29,,,47,174,47,16,158,41,6,87,13,91,9,41,6,87,13,156
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2011,4456,234,44,34,126,5,19,15,54,49,649,19,66,69,34,126,34,7,119,31,3,91,9,94,6,31,3,91,9,157
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2012,4308,218,52,42,156,5,24,19,71,63,602,26,71,74,42,156,42,10,146,38,4,90,10,94,6,38,4,90,10,158
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2013,4405,248,42,32,100,6,17,13,40,35,691,14,57,64,32,100,32,16,84,25,7,78,22,84,16,25,7,78,22,159
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2014,4422,228,52,43,137,5,23,19,60,52,629,22,67,72,43,137,43,13,124,38,5,88,12,91,9,38,5,88,12,160
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2015,4599,261,48,39,144,6,18,15,55,49,722,20,69,72,39,144,39,9,135,35,4,90,10,94,6,35,4,90,10,161
 CTOP-OP1 LifeChoice Donor Services,LifeChoice Donor Services,CTOP,2016,4602,271,45,39,127,6,17,14,47,43,748,17,69,74,39,127,39,18,109,31,8,79,21,86,14,31,8,79,21,162
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,1999,5938,274,,90,335,5,,33,122,98,760,44,,,90,335,90,18,317,83,7,92,8,95,5,83,7,92,8,163
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2000,5995,295,,82,308,5,,28,104,88,814,38,,,82,308,82,12,296,78,4,95,5,96,4,78,4,95,5,164
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2001,5870,283,,78,304,5,,28,108,97,780,39,,,78,304,78,3,301,77,1,99,1,99,1,77,1,99,1,165
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2002,5869,284,,87,346,5,,31,122,108,789,44,,,87,346,87,8,338,84,3,97,3,98,2,84,3,97,3,166
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2003,6091,312,,86,314,5,,28,101,89,849,37,,,86,314,86,13,301,81,5,94,6,96,4,81,5,94,6,167
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2004,5931,297,,120,415,5,,40,140,105,820,51,,,120,415,120,34,381,108,12,90,10,92,8,108,12,90,10,168
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2005,5881,320,,151,498,5,,47,156,118,878,57,,,151,498,151,63,435,129,22,85,15,87,13,129,22,85,15,169
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2006,5996,309,,126,448,5,,41,145,118,847,53,,,126,448,126,52,396,110,16,87,13,88,12,110,16,87,13,170
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2007,6115,299,,108,368,5,,36,123,99,821,45,,,108,368,108,32,336,98,10,91,9,91,9,98,10,91,9,171
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2008,5964,315,119,119,413,5,38,38,131,107,867,48,,,119,413,119,45,368,104,15,87,13,89,11,104,15,87,13,172
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2009,5800,311,127,128,467,5,41,41,150,127,855,55,,,128,467,128,50,417,109,19,85,15,89,11,109,19,85,15,173
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2010,5912,384,125,115,412,6,33,30,107,91,1046,39,,,115,412,115,63,349,92,23,80,20,85,15,92,23,80,20,174
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2011,5551,368,135,128,421,7,37,35,114,93,1003,42,66,74,128,421,128,76,345,99,29,77,23,82,18,99,29,77,23,175
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2012,5426,325,136,132,421,6,42,41,130,111,894,47,58,70,132,421,132,72,349,103,29,78,22,83,17,103,29,78,22,176
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2013,5408,299,149,126,443,6,50,42,148,129,820,54,62,69,126,443,126,58,385,103,23,82,18,87,13,103,23,82,18,177
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2014,5535,318,149,141,457,6,47,44,144,114,873,52,64,72,141,457,141,91,366,106,35,75,25,80,20,106,35,75,25,178
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2015,5459,320,141,143,458,6,44,45,143,122,881,52,68,76,143,458,143,79,379,109,34,76,24,83,17,109,34,76,24,179
 DCTC-OP1 Washington Reg Transplant Community,Washington Reg Transplant Community,DCTC,2016,5698,361,156,135,487,6,43,37,135,113,994,49,71,75,135,487,135,41,446,120,15,89,11,92,8,120,15,89,11,180
 FLFH-IO1 TransLife,TransLife,FLFH,1999,4889,246,,78,247,5,,32,101,92,692,36,,,78,247,78,2,245,77,1,99,1,99,1,77,1,99,1,181
 FLFH-IO1 TransLife,TransLife,FLFH,2000,4860,278,,93,303,6,,33,109,97,778,39,,,93,303,93,17,286,87,6,94,6,94,6,87,6,94,6,182
 FLFH-IO1 TransLife,TransLife,FLFH,2001,4856,273,,96,291,6,,35,106,91,765,38,,,96,291,96,34,257,82,14,85,15,88,12,82,14,85,15,183
 FLFH-IO1 TransLife,TransLife,FLFH,2002,4920,273,,82,250,6,,30,91,78,761,33,,,82,250,82,16,234,75,7,91,9,94,6,75,7,91,9,184
 FLFH-IO1 TransLife,TransLife,FLFH,2003,4960,263,,86,289,5,,33,110,98,735,39,,,86,289,86,19,270,78,8,91,9,93,7,78,8,91,9,185
 FLFH-IO1 TransLife,TransLife,FLFH,2004,5129,299,,105,371,6,,35,124,114,825,45,,,105,371,105,9,362,101,4,96,4,98,2,101,4,96,4,186
 FLFH-IO1 TransLife,TransLife,FLFH,2005,4982,307,,91,335,6,,30,109,96,846,40,,,91,335,91,28,307,80,11,88,12,92,8,80,11,88,12,187
 FLFH-IO1 TransLife,TransLife,FLFH,2006,4777,303,,83,275,6,,27,91,85,831,33,,,83,275,83,44,231,67,16,81,19,84,16,67,16,81,19,188
 FLFH-IO1 TransLife,TransLife,FLFH,2007,4587,283,,104,338,6,,37,119,108,779,43,,,104,338,104,45,293,86,18,83,17,87,13,86,18,83,17,189
 FLFH-IO1 TransLife,TransLife,FLFH,2008,4554,274,126,99,371,6,46,36,135,121,753,49,,,99,371,99,27,344,89,10,90,10,93,7,89,10,90,10,190
 FLFH-IO1 TransLife,TransLife,FLFH,2009,4479,291,122,104,382,6,42,36,131,122,799,48,,,104,382,104,35,347,91,13,88,13,91,9,91,13,88,13,191
 FLFH-IO1 TransLife,TransLife,FLFH,2010,4602,307,120,102,380,7,39,33,124,112,847,45,,,102,380,102,27,353,92,10,90,10,93,7,92,10,90,10,192
 FLFH-IO1 TransLife,TransLife,FLFH,2011,4598,313,108,91,333,7,35,29,107,100,861,39,73,76,91,333,91,27,306,79,12,87,13,92,8,79,12,87,13,193
 FLFH-IO1 TransLife,TransLife,FLFH,2012,4634,308,111,110,417,7,36,36,135,125,845,49,82,85,110,417,110,45,372,92,18,84,16,89,11,92,18,84,16,194
 FLFH-IO1 TransLife,TransLife,FLFH,2013,4749,286,96,91,329,6,34,32,115,112,794,41,70,76,91,329,91,60,269,68,23,75,25,82,18,68,23,75,25,195
 FLFH-IO1 TransLife,TransLife,FLFH,2014,4927,312,84,78,255,6,27,25,82,76,857,30,76,80,78,255,78,38,217,61,17,78,22,85,15,61,17,78,22,196
 FLFH-IO1 TransLife,TransLife,FLFH,2015,5135,329,137,124,380,6,42,38,116,100,907,42,67,73,124,380,124,63,317,94,30,76,24,83,17,94,30,76,24,197
 FLFH-IO1 TransLife,TransLife,FLFH,2016,5261,360,171,163,556,7,48,45,154,138,988,56,75,79,163,556,163,75,481,129,34,79,21,87,13,129,34,79,21,198
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,1999,11257,508,,125,425,5,,25,84,67,1428,30,,,125,425,125,14,411,120,5,96,4,97,3,120,5,96,4,199
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2000,10609,487,,105,348,5,,22,71,60,1366,25,,,105,348,105,6,342,103,2,98,2,98,2,103,2,98,2,200
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2001,10704,499,,126,479,5,,25,96,80,1393,34,,,126,479,126,20,459,118,8,94,6,96,4,118,8,94,6,201
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2002,10420,496,,115,398,5,,23,80,69,1385,29,,,115,398,115,2,396,114,1,99,1,99,1,114,1,99,1,202
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2003,10299,480,,114,402,5,,24,84,70,1345,30,,,114,402,114,17,385,108,6,95,5,96,4,108,6,95,5,203
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2004,10092,485,,125,422,5,,26,87,75,1350,31,,,125,422,125,6,416,123,2,98,2,99,1,123,2,98,2,204
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2005,9783,483,,113,452,5,,23,94,87,1345,34,,,113,452,113,13,439,108,5,96,4,97,3,108,5,96,4,205
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2006,9333,499,,126,467,5,,25,94,85,1376,34,,,126,467,126,8,459,123,3,98,2,98,2,123,3,98,2,206
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2007,8887,502,,144,539,6,,29,107,101,1379,39,,,144,539,144,14,525,139,5,97,3,97,3,139,5,97,3,207
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2008,8569,465,176,134,477,5,38,29,102,87,1288,37,,,134,477,134,26,451,125,9,93,7,95,5,125,9,93,7,208
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2009,8432,486,164,124,457,6,34,26,94,81,1338,34,,,124,457,124,22,435,116,8,94,6,95,5,116,8,94,6,209
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2010,8030,480,192,142,502,6,40,30,105,93,1323,38,,,142,502,142,12,490,137,5,96,4,98,2,137,5,96,4,210
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2011,7905,503,170,142,531,6,34,28,106,95,1387,38,74,76,142,531,142,19,512,134,8,94,6,96,4,134,8,94,6,211
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2012,7731,466,191,145,516,6,41,31,111,97,1283,40,71,72,145,516,145,13,503,139,6,96,4,97,3,139,6,96,4,212
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2013,7435,434,184,140,493,6,42,32,114,103,1194,41,69,71,140,493,140,10,483,136,4,97,3,98,2,136,4,97,3,213
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2014,7689,471,196,162,560,6,42,34,119,106,1296,43,70,74,162,560,162,31,529,150,12,93,7,94,6,150,12,93,7,214
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2015,7932,521,180,158,550,7,35,30,105,99,1430,38,75,78,158,550,158,48,502,138,20,87,13,91,9,138,20,87,13,215
 FLMP-OP1 Life Alliance Organ Recovery Agency,Life Alliance Organ Recovery Agency,FLMP,2016,8288,544,198,163,569,7,36,30,105,90,1495,38,64,69,163,569,163,60,509,138,25,85,15,89,11,138,25,85,15,216
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,1999,6619,345,,90,274,5,,26,79,66,972,28,,,90,274,90,17,257,84,6,93,7,94,6,84,6,93,7,217
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2000,6563,367,,101,304,6,,28,83,68,1025,30,,,101,304,101,24,280,90,11,89,11,92,8,90,11,89,11,218
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2001,6460,361,,103,360,6,,29,100,90,1013,36,,,103,360,103,28,332,92,11,89,11,92,8,92,11,89,11,219
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2002,6466,371,,103,335,6,,28,90,82,1030,33,,,103,335,103,33,302,90,13,87,13,90,10,90,13,87,13,220
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2003,6438,359,,109,372,6,,30,104,92,996,37,,,109,372,109,35,337,98,11,90,10,91,9,98,11,90,10,221
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2004,6383,363,,108,406,6,,30,112,99,1006,40,,,108,406,108,49,357,90,18,83,17,88,12,90,18,83,17,222
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2005,5982,384,,126,437,6,,33,114,97,1058,41,,,126,437,126,70,367,101,25,80,20,84,16,101,25,80,20,223
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2006,6046,361,,125,405,6,,35,112,95,993,41,,,125,405,125,61,344,102,23,82,18,85,15,102,23,82,18,224
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2007,5843,394,,132,428,7,,34,109,92,1083,40,,,132,428,132,117,311,90,42,68,32,73,27,90,42,68,32,225
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2008,6011,376,106,129,433,6,28,34,115,98,1033,42,,,129,433,129,73,360,102,27,79,21,83,17,102,27,79,21,226
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2009,5931,388,127,109,386,7,33,28,100,87,1062,36,,,109,386,109,43,343,92,17,84,16,89,11,92,17,84,16,227
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2010,5823,403,121,135,461,7,30,34,114,96,1104,42,,,135,461,135,70,391,110,25,81,19,85,15,110,25,81,19,228
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2011,5907,399,142,141,525,7,36,35,132,113,1091,48,74,79,141,525,141,58,467,120,21,85,15,89,11,120,21,85,15,229
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2012,5601,356,149,130,473,6,42,37,133,117,980,48,72,76,130,473,130,39,434,116,14,89,11,92,8,116,14,89,11,230
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2013,5882,383,137,126,466,7,36,33,122,109,1052,44,70,75,126,466,126,63,403,101,25,80,20,86,14,101,25,80,20,231
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2014,5969,370,142,142,466,6,38,38,126,109,1014,46,72,78,142,466,142,66,400,115,27,81,19,86,14,115,27,81,19,232
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2015,6058,377,155,148,501,6,41,39,133,115,1036,48,68,75,148,501,148,81,420,120,28,81,19,84,16,120,28,81,19,233
 FLUF-IO1 LifeQuest Organ Recovery Services,LifeQuest Organ Recovery Services,FLUF,2016,6246,419,186,160,596,7,44,38,142,123,1151,52,70,74,160,596,160,67,529,139,21,87,13,89,11,139,21,87,13,234
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,1999,8548,460,,144,468,5,,31,102,95,1302,36,,,144,468,144,0,468,144,0,100,0,100,0,144,0,100,0,235
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2000,8538,481,,137,434,6,,28,90,83,1357,32,,,137,434,137,2,432,136,1,99,1,100,0,136,1,99,1,236
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2001,8565,436,,138,456,5,,32,105,96,1219,37,,,138,456,138,2,451,136,1,99,1,99,0,136,1,99,1,237
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2002,8278,439,,139,438,5,,32,100,94,1230,36,,,139,438,139,0,438,139,0,100,0,100,0,139,0,100,0,238
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2003,8202,474,,135,447,6,,28,94,87,1313,34,,,135,447,135,0,447,135,0,100,0,100,0,135,0,100,0,239
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2004,8271,504,,137,434,6,,27,86,76,1396,31,,,137,434,137,0,434,137,0,100,0,100,0,137,0,100,0,240
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2005,7830,489,,138,428,6,,28,88,79,1347,32,,,138,428,138,2,426,137,1,99,1,100,0,137,1,99,1,241
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2006,7755,461,,170,564,6,,37,122,109,1275,44,,,170,564,170,3,561,169,1,99,1,99,1,169,1,99,1,242
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2007,7393,499,,174,592,7,,35,119,110,1369,43,,,174,592,174,8,584,170,4,98,2,99,1,170,4,98,2,243
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2008,7262,480,200,180,603,7,42,38,126,114,1315,46,,,180,603,180,15,588,174,6,97,3,98,2,174,6,97,3,244
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2009,7414,491,189,175,548,7,38,36,112,101,1352,41,,,175,548,175,12,536,170,5,97,3,98,2,170,5,97,3,245
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2010,7293,497,165,167,553,7,33,34,111,103,1368,40,,,167,553,167,31,522,154,13,92,8,94,6,154,13,92,8,246
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2011,7230,492,156,195,648,7,32,40,132,120,1355,48,89,92,195,648,195,48,600,175,20,90,10,93,7,175,20,90,10,247
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2012,7214,484,190,169,551,7,39,35,114,103,1329,41,72,76,169,551,169,49,502,150,19,89,11,91,9,150,19,89,11,248
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2013,7559,468,176,177,607,6,38,38,130,116,1291,47,78,82,177,607,177,47,560,160,17,90,10,92,8,160,17,90,10,249
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2014,7970,490,199,190,624,6,41,39,127,120,1349,46,78,81,190,624,190,28,596,178,12,94,6,96,4,178,12,94,6,250
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2015,8126,525,224,207,698,6,43,39,133,122,1450,48,77,80,207,698,207,40,658,192,15,93,7,94,6,192,15,93,7,251
 FLWC-OP1 LifeLink of Florida,LifeLink of Florida,FLWC,2016,8455,567,238,230,737,7,42,41,130,117,1554,47,80,83,230,737,230,60,677,206,24,90,10,92,8,206,24,90,10,252
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,1999,14718,869,,184,650,6,,21,75,70,2418,27,,,184,650,184,0,648,183,0,99,0,100,0,183,0,99,0,253
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2000,14672,854,,171,553,6,,20,65,59,2370,23,,,171,553,171,0,553,171,0,100,0,100,0,171,0,100,0,254
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2001,14784,881,,205,714,6,,23,81,74,2424,29,,,205,714,205,0,714,205,0,100,0,100,0,205,0,100,0,255
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2002,14561,817,,182,615,6,,22,75,69,2253,27,,,182,615,182,2,613,181,1,99,1,100,0,181,1,99,1,256
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2003,14814,828,,197,680,6,,24,82,74,2288,30,,,197,680,197,0,680,197,0,100,0,100,0,197,0,100,0,257
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2004,14304,829,,238,787,6,,29,95,84,2282,34,,,238,787,238,0,787,238,0,100,0,100,0,238,0,100,0,258
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2005,14242,858,,231,776,6,,27,90,79,2348,33,,,231,776,231,3,773,230,1,100,0,100,0,230,1,100,0,259
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2006,15071,970,,267,902,6,,28,93,82,2654,34,,,267,902,267,9,893,264,3,99,1,99,1,264,3,99,1,260
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2007,13887,917,,244,849,7,,27,93,82,2506,34,,,244,849,244,6,843,242,2,99,1,99,1,242,2,99,1,261
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2008,8109,449,333,259,862,6,74,58,192,170,1232,70,,,259,862,259,6,856,257,2,99,1,99,1,257,2,99,1,262
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2009,829,77,324,252,884,9,422,328,1151,967,206,428,,,252,884,252,16,868,246,6,98,2,98,2,246,6,98,2,263
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2010,13958,937,341,284,975,7,36,30,104,92,2571,38,,,284,975,284,12,963,279,5,98,2,99,1,279,5,98,2,264
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2011,13024,846,282,254,842,6,33,30,99,85,2311,36,74,77,254,842,254,12,830,249,5,98,2,99,1,249,5,98,2,265
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2012,13150,873,353,269,922,7,40,31,106,94,2401,38,69,71,269,922,269,12,910,264,5,98,2,99,1,264,5,98,2,266
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2013,13948,895,339,269,917,6,38,30,102,93,2447,37,74,76,269,917,269,8,909,266,3,99,1,99,1,266,3,99,1,267
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2014,13902,876,353,268,938,6,40,31,107,100,2401,39,70,72,268,938,268,18,920,262,6,98,2,98,2,262,6,98,2,268
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2015,14276,936,369,274,939,7,39,29,100,93,2562,37,69,71,274,939,274,31,908,264,10,96,4,97,3,264,10,96,4,269
 GALL-OP1 LifeLink of Georgia,LifeLink of Georgia,GALL,2016,14837,943,377,306,1018,6,40,32,108,97,2595,39,76,77,306,1018,306,14,1004,300,6,98,2,99,1,300,6,98,2,270
 HIOP-OP1 Legacy of Life Hawaii,Legacy of Life Hawaii,HIOP,1999,1932,131,,25,78,7,,19,59,54,371,21,,,25,78,25,0,76,24,0,96,0,97,0,24,0,96,0,271
 HIOP-OP1 Legacy of Life Hawaii,Legacy of Life Hawaii,HIOP,2000,1852,123,,29,85,7,,24,69,57,344,25,,,29,85,29,0,85,29,0,100,0,100,0,29,0,100,0,272
